Id,Descripción,Localización,Enlace,Precio,Última Actualización,Timestamp_Scrapeo,Superficie Construida,Habitaciones,Baños,Antigüedad,Conservación,Superficie Útil,Tipo De Casa,CP,CP_encoded,Planta_11ª,Planta_12ª,Planta_13ª,Planta_14ª,Planta_15ª,Planta_16ª,Planta_17ª,Planta_1ª,Planta_2ª,Planta_3ª,Planta_4ª,Planta_5ª,Planta_6ª,Planta_7ª,Planta_8ª,Planta_9ª,Planta_Bajo,Planta_Entresuelo,Planta_Más de 20,Planta_No especificado,Planta_Principal,Planta_Semisótano,Planta_Sótano,cluster
93b35d17-4787-4323-bf28-a6cb525fa4e8,Piso en venta en Opañel,Opañel (Distrito Carabanchel. Madrid Capital),https://www.pisos.com/comprar/piso-opanel28019-47560311203_103800/,0.012280701754385965,2024-11-02,2024-11-06 00:01:19.379238,0.10642570281124497,3,1,5,4,0.0861195542046606,5,28019,0.09473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
f077adb4-116c-4dff-a90e-5e7e1609dda3,Chalet en venta en Bellavista-Salud y Alegría,Bellavista-Salud y Alegría (Torrelodones),https://www.pisos.com/comprar/chalet-bellavista_salud_y_alegria-41732518831_101800/,0.03483709273182957,2024-11-01,2024-11-06 00:01:21.947257,0.38554216867469876,6,4,1,3,0.14478648630522947,1,28020,0.4176842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
e44b474c-961f-49bd-a196-13f51d08d034,"Casa adosada en venta en Calle de Julián Camarillo, 56",Simancas (Distrito San Blas. Madrid Capital),https://www.pisos.com/comprar/casa_adosada-san_blas_simancas28037-4234700628_109700/,0.06891729323308271,2024-10-31,2024-11-06 00:01:24.506285,0.28212851405622486,4,3,6,0,0.14478648630522947,0,28037,0.09010526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
e7d288da-c240-48bc-9515-7ef6d6872530,Casa adosada en venta en Cubas de La Sagra,Cubas de La Sagra,https://www.pisos.com/comprar/casa_adosada-cubas_de_la_sagra_centro_urbano-48382842790_100200/,0.014030075187969924,2024-10-17,2024-11-06 00:01:27.163986,0.1395582329317269,3,2,2,2,0.14478648630522947,0,0,0.09894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
9a413321-57a0-4f1a-94a3-b41ee89d1874,Piso en venta en Calle de la Rejilla,Centro (Móstoles),https://www.pisos.com/comprar/piso-mostoles_centro28931-42558960881_101800/,0.016992481203007517,2024-11-05,2024-11-06 00:01:29.722337,0.08835341365461846,3,2,6,3,0.14478648630522947,5,28931,0.07789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
a52077f5-2c55-4d4a-b0c3-fbede817055a,Piso en venta en Calle de La Rábida,Rinconada (Distrito Reyes Católicos. Alcalá de Henares),https://www.pisos.com/comprar/piso-rinconada28803-45045782618_100200/,0.0061403508771929825,2024-11-05,2024-11-06 00:01:32.375863,0.07228915662650602,3,1,6,2,0.14478648630522947,5,28803,0.052589473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
be324478-0ac4-4468-857b-d02ab2de4a26,"Casa pareada en venta en Calle Calle Camilo Jose Cela, Número S/N",Villalbilla,https://www.pisos.com/comprar/casa_pareada-villalbilla_centro_urbano-40032867498_101800/,0.024057644110275687,2024-11-05,2024-11-06 00:01:34.970712,0.17168674698795178,4,3,4,3,0.14478648630522947,0,28810,0.1368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
11f5290b-dde3-4f39-b319-611aaab2bfce,Chalet en venta en Calle Calle Camino de Hoyarrasa,La Moraleja (La Moraleja),https://www.pisos.com/comprar/chalet-la_moraleja_distrito28109-14244680459_101800/,0.14486215538847116,2024-11-05,2024-11-06 00:01:37.511522,0.5692771084337349,4,4,1,2,0.14478648630522947,1,28109,0.7010526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
3bf2d2d3-efca-431f-8f19-c86a63d06ecb,"Casa adosada en venta en Calle de la Gran Vía, 12",Camarma de Esteruelas,https://www.pisos.com/comprar/casa_adosada-camarma_de_esteruelas_centro_urbano-40841387725_101800/,0.01688220551378446,2024-11-05,2024-11-06 00:01:40.162094,0.11947791164658633,3,3,6,3,0.14478648630522947,0,0,0.09894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
61184336-f1a8-4502-b9f9-537d41e6d09f,Piso en venta en Calle de los Pilares,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),https://www.pisos.com/comprar/piso-casco_historico_de_barajas-47537549702_100200/,0.013533834586466165,2024-10-14,2024-11-06 00:01:42.953308,0.09136546184738956,3,1,2,2,0.14478648630522947,5,28042,0.14309473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
